model,definition,solution,feedback_workload_uuid,generation_mode,generation_round,candidate_index,parent_solution,status,status_family,secondary_bucket,efficiency_bucket,max_absolute_error,max_relative_error,latency_ms,reference_latency_ms,speedup_factor,solution_path,feedback_trace_path,prompt_path,raw_response_path,feedback_error,log_excerpt
gpt-5,fused_add_rmsnorm_h4096,gpt-5_fused_add_rmsnorm_h4096_cuda_optimized_r1_c0_high,9f5150a0-744c-4699-a970-f15b0ea14a38,sequential,1,0,,COMPILE_ERROR,compile_error,compile.cuda_compile,,,,,,,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260316_172250/generation_rounds/gpt-5/fused_add_rmsnorm_h4096/sequential_r01_c00/solution.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260316_172250/generation_rounds/gpt-5/fused_add_rmsnorm_h4096/sequential_r01_c00/feedback_trace.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260316_172250/generation_rounds/gpt-5/fused_add_rmsnorm_h4096/sequential_r01_c00/prompt.txt,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260316_172250/generation_rounds/gpt-5/fused_add_rmsnorm_h4096/sequential_r01_c00/raw_response.txt,,[1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_fused_add_rmsnorm_h4096_cuda_optimized_r1_c0_high_4cac29 -DTORCH_API_INCLUDE_EXTENSION_H -I/home
gpt-5,fused_add_rmsnorm_h4096,gpt-5_fused_add_rmsnorm_h4096_cuda_optimized_r2_c0_high,9f5150a0-744c-4699-a970-f15b0ea14a38,sequential,2,0,gpt-5_fused_add_rmsnorm_h4096_cuda_optimized_r1_c0_high,PASSED,passed,passed,efficiency.breakout,0.0,0.0,0.013311999849975109,0.08601599931716919,6.461538483064964,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260316_172250/generation_rounds/gpt-5/fused_add_rmsnorm_h4096/sequential_r02_c00/solution.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260316_172250/generation_rounds/gpt-5/fused_add_rmsnorm_h4096/sequential_r02_c00/feedback_trace.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260316_172250/generation_rounds/gpt-5/fused_add_rmsnorm_h4096/sequential_r02_c00/prompt.txt,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260316_172250/generation_rounds/gpt-5/fused_add_rmsnorm_h4096/sequential_r02_c00/raw_response.txt,,[1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_fused_add_rmsnorm_h4096_cuda_optimized_r2_c0_high_6a53c8 -DTORCH_API_INCLUDE_EXTENSION_H -I/home
gpt-5,fused_add_rmsnorm_h4096,gpt-5_fused_add_rmsnorm_h4096_cuda_optimized_r3_c0_high,9f5150a0-744c-4699-a970-f15b0ea14a38,sequential,3,0,gpt-5_fused_add_rmsnorm_h4096_cuda_optimized_r2_c0_high,PASSED,passed,passed,efficiency.breakout,0.00390625,0.004761904943734407,0.011264000087976456,0.08243199810385704,7.3181815926872655,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260316_172250/generation_rounds/gpt-5/fused_add_rmsnorm_h4096/sequential_r03_c00/solution.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260316_172250/generation_rounds/gpt-5/fused_add_rmsnorm_h4096/sequential_r03_c00/feedback_trace.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260316_172250/generation_rounds/gpt-5/fused_add_rmsnorm_h4096/sequential_r03_c00/prompt.txt,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260316_172250/generation_rounds/gpt-5/fused_add_rmsnorm_h4096/sequential_r03_c00/raw_response.txt,,[1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_fused_add_rmsnorm_h4096_cuda_optimized_r3_c0_high_9665f4 -DTORCH_API_INCLUDE_EXTENSION_H -I/home
gpt-5,fused_add_rmsnorm_h4096,gpt-5_fused_add_rmsnorm_h4096_cuda_optimized_r4_c0_high,9f5150a0-744c-4699-a970-f15b0ea14a38,sequential,4,0,gpt-5_fused_add_rmsnorm_h4096_cuda_optimized_r3_c0_high,PASSED,passed,passed,efficiency.breakout,0.0,0.0,0.009728000033646822,0.08601599931716919,8.84210516238286,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260316_172250/generation_rounds/gpt-5/fused_add_rmsnorm_h4096/sequential_r04_c00/solution.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260316_172250/generation_rounds/gpt-5/fused_add_rmsnorm_h4096/sequential_r04_c00/feedback_trace.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260316_172250/generation_rounds/gpt-5/fused_add_rmsnorm_h4096/sequential_r04_c00/prompt.txt,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260316_172250/generation_rounds/gpt-5/fused_add_rmsnorm_h4096/sequential_r04_c00/raw_response.txt,,[1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_fused_add_rmsnorm_h4096_cuda_optimized_r4_c0_high_64b3e6 -DTORCH_API_INCLUDE_EXTENSION_H -I/home
gpt-5,fused_add_rmsnorm_h4096,gpt-5_fused_add_rmsnorm_h4096_cuda_optimized_r5_c0_high,9f5150a0-744c-4699-a970-f15b0ea14a38,sequential,5,0,gpt-5_fused_add_rmsnorm_h4096_cuda_optimized_r4_c0_high,PASSED,passed,passed,efficiency.breakout,0.0,0.0,0.009728000033646822,0.08601599931716919,8.84210516238286,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260316_172250/generation_rounds/gpt-5/fused_add_rmsnorm_h4096/sequential_r05_c00/solution.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260316_172250/generation_rounds/gpt-5/fused_add_rmsnorm_h4096/sequential_r05_c00/feedback_trace.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260316_172250/generation_rounds/gpt-5/fused_add_rmsnorm_h4096/sequential_r05_c00/prompt.txt,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260316_172250/generation_rounds/gpt-5/fused_add_rmsnorm_h4096/sequential_r05_c00/raw_response.txt,,[1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_fused_add_rmsnorm_h4096_cuda_optimized_r5_c0_high_ac78b4 -DTORCH_API_INCLUDE_EXTENSION_H -I/home
gpt-5,fused_add_rmsnorm_h4096,gpt-5_fused_add_rmsnorm_h4096_cuda_optimized_r6_c0_high,9f5150a0-744c-4699-a970-f15b0ea14a38,sequential,6,0,gpt-5_fused_add_rmsnorm_h4096_cuda_optimized_r5_c0_high,PASSED,passed,passed,efficiency.breakout,0.00390625,0.004048583097755909,0.010239999741315842,0.08345599845051765,8.150000054569684,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260316_172250/generation_rounds/gpt-5/fused_add_rmsnorm_h4096/sequential_r06_c00/solution.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260316_172250/generation_rounds/gpt-5/fused_add_rmsnorm_h4096/sequential_r06_c00/feedback_trace.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260316_172250/generation_rounds/gpt-5/fused_add_rmsnorm_h4096/sequential_r06_c00/prompt.txt,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260316_172250/generation_rounds/gpt-5/fused_add_rmsnorm_h4096/sequential_r06_c00/raw_response.txt,,[1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_fused_add_rmsnorm_h4096_cuda_optimized_r6_c0_high_bafe35 -DTORCH_API_INCLUDE_EXTENSION_H -I/home
gpt-5,fused_add_rmsnorm_h4096,gpt-5_fused_add_rmsnorm_h4096_cuda_optimized_r7_c0_high,9f5150a0-744c-4699-a970-f15b0ea14a38,sequential,7,0,gpt-5_fused_add_rmsnorm_h4096_cuda_optimized_r6_c0_high,PASSED,passed,passed,efficiency.breakout,0.0,0.0,0.010239999741315842,0.08499199897050858,8.300000109139367,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260316_172250/generation_rounds/gpt-5/fused_add_rmsnorm_h4096/sequential_r07_c00/solution.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260316_172250/generation_rounds/gpt-5/fused_add_rmsnorm_h4096/sequential_r07_c00/feedback_trace.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260316_172250/generation_rounds/gpt-5/fused_add_rmsnorm_h4096/sequential_r07_c00/prompt.txt,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260316_172250/generation_rounds/gpt-5/fused_add_rmsnorm_h4096/sequential_r07_c00/raw_response.txt,,[1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_fused_add_rmsnorm_h4096_cuda_optimized_r7_c0_high_bc686c -DTORCH_API_INCLUDE_EXTENSION_H -I/home
gpt-5,fused_add_rmsnorm_h4096,gpt-5_fused_add_rmsnorm_h4096_cuda_optimized_r8_c0_high,9f5150a0-744c-4699-a970-f15b0ea14a38,sequential,8,0,gpt-5_fused_add_rmsnorm_h4096_cuda_optimized_r7_c0_high,PASSED,passed,passed,efficiency.breakout,0.0,0.0,0.009728000033646822,0.08550399914383888,8.78947356579986,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260316_172250/generation_rounds/gpt-5/fused_add_rmsnorm_h4096/sequential_r08_c00/solution.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260316_172250/generation_rounds/gpt-5/fused_add_rmsnorm_h4096/sequential_r08_c00/feedback_trace.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260316_172250/generation_rounds/gpt-5/fused_add_rmsnorm_h4096/sequential_r08_c00/prompt.txt,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260316_172250/generation_rounds/gpt-5/fused_add_rmsnorm_h4096/sequential_r08_c00/raw_response.txt,,[1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_fused_add_rmsnorm_h4096_cuda_optimized_r8_c0_high_d15b90 -DTORCH_API_INCLUDE_EXTENSION_H -I/home
gpt-5,fused_add_rmsnorm_h4096,gpt-5_fused_add_rmsnorm_h4096_cuda_optimized_r9_c0_high,9f5150a0-744c-4699-a970-f15b0ea14a38,sequential,9,0,gpt-5_fused_add_rmsnorm_h4096_cuda_optimized_r8_c0_high,PASSED,passed,passed,efficiency.breakout,0.0,0.0,0.010239999741315842,0.08499199897050858,8.300000109139367,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260316_172250/generation_rounds/gpt-5/fused_add_rmsnorm_h4096/sequential_r09_c00/solution.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260316_172250/generation_rounds/gpt-5/fused_add_rmsnorm_h4096/sequential_r09_c00/feedback_trace.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260316_172250/generation_rounds/gpt-5/fused_add_rmsnorm_h4096/sequential_r09_c00/prompt.txt,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260316_172250/generation_rounds/gpt-5/fused_add_rmsnorm_h4096/sequential_r09_c00/raw_response.txt,,[1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_fused_add_rmsnorm_h4096_cuda_optimized_r9_c0_high_53ae4c -DTORCH_API_INCLUDE_EXTENSION_H -I/home
gpt-5,fused_add_rmsnorm_h4096,gpt-5_fused_add_rmsnorm_h4096_cuda_optimized_r10_c0_high,9f5150a0-744c-4699-a970-f15b0ea14a38,sequential,10,0,gpt-5_fused_add_rmsnorm_h4096_cuda_optimized_r9_c0_high,PASSED,passed,passed,efficiency.breakout,0.0,0.0,0.010239999741315842,0.08499199897050858,8.300000109139367,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260316_172250/generation_rounds/gpt-5/fused_add_rmsnorm_h4096/sequential_r10_c00/solution.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260316_172250/generation_rounds/gpt-5/fused_add_rmsnorm_h4096/sequential_r10_c00/feedback_trace.json,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260316_172250/generation_rounds/gpt-5/fused_add_rmsnorm_h4096/sequential_r10_c00/prompt.txt,/data1/workspace/airulan/bench/flashinfer-bench/examples/kernel_generator/results/run_20260316_172250/generation_rounds/gpt-5/fused_add_rmsnorm_h4096/sequential_r10_c00/raw_response.txt,,[1/3] /usr/local/cuda-13.0/bin/nvcc --generate-dependencies-with-compile --dependency-output kernel.cuda.o.d -DTORCH_EXTENSION_NAME=torch_gpt_5_fused_add_rmsnorm_h4096_cuda_optimized_r10_c0_high_2a5da6 -DTORCH_API_INCLUDE_EXTENSION_H -I/hom
